Rank,Name,Yr,Pos,G,Att,Comp,Pct,Yards,Yards/Att,Td,Int,Rating,Att/G,Yards/G,TeamID,Year
1,Kale Pearson,SR,QB,12,171,101,59.1,1590,9.3,14,3,160.67,14.3,132.5,721
2,Nate Romine,SO,QB,5,30,14,46.7,208,6.9,0,1,98.24,6.0,41.6,721
3,Jalen Robinette,SO,WR,13,2,1,50.0,54,27.0,1,0,441.80,0.2,4.2,721
4,Colton Huntsman,SR,WR,9,2,1,50.0,41,20.5,0,0,222.20,0.2,4.6,721
5,Team,,,8,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,721
,Total,,,13,206,117,56.8,1893,9.2,15,4,154.14,15.8,145.6,721
,Opponents,,,13,434,239,55.1,3368,7.8,20,10,130.85,33.4,259.1,721
1,Kyle Pohl,JR,QB,10,383,208,54.3,2189,5.7,9,8,105.90,38.3,218.9,5
2,Thomas Woodson,FR,QB,8,143,76,53.1,806,5.6,5,6,103.64,17.9,100.8,5
3,Zach D'Orazio,JR,WR,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,5
4,Team,,,7,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,5
,Total,,,12,528,284,53.8,2995,5.7,14,14,104.88,44.0,249.6,5
,Opponents,,,12,402,225,56.0,2670,6.6,20,13,121.71,33.5,222.5,5
1,Blake Sims,SR,QB,14,391,252,64.5,3487,8.9,28,10,157.87,27.9,249.1,8
2,Jake Coker,JR,QB,6,59,38,64.4,403,6.8,4,0,144.16,9.8,67.2,8
3,Team,,,7,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,8
,Total,,,14,451,290,64.3,3890,8.6,32,10,155.73,32.2,277.9,8
,Opponents,,,14,493,268,54.4,3164,6.4,19,11,116.53,35.2,226.0,8
1,Taylor Lamb,FR,QB,12,295,181,61.4,2381,8.1,17,9,142.08,24.6,198.4,27
2,Kameron Bryant,JR,QB,6,43,23,53.5,254,5.9,4,2,124.51,7.2,42.3,27
3,Logan Hallock,SR,QB,2,2,1,50.0,2,1.0,0,0,58.40,1.0,1.0,27
,Total,,,12,340,205,60.3,2637,7.8,21,11,139.35,28.3,219.8,27
,Opponents,,,12,356,210,59.0,2342,6.6,17,12,123.27,29.7,195.2,27
1,Anu Solomon,FR,QB,14,540,313,58.0,3793,7.0,28,9,130.74,38.6,270.9,29
2,Jesse Scroggins III,SR,QB,4,18,7,38.9,152,8.4,1,1,117.04,4.5,38.0,29
3,Jerrard Randall,JR,QB,4,3,0,0.0,0,0.0,0,0,0.00,0.8,0.0,29
4,Team,,,12,3,0,0.0,0,0.0,0,0,0.00,0.3,0.0,29
,Total,,,14,564,320,56.7,3945,7.0,29,10,128.92,40.3,281.8,29
,Opponents,,,14,534,349,65.4,3937,7.4,28,13,139.72,38.1,281.2,29
1,Taylor Kelly,SR,QB,10,278,165,59.4,2114,7.6,22,5,145.74,27.8,211.4,28
2,Mike Bercovici,JR,QB,12,186,115,61.8,1445,7.8,12,4,144.08,15.5,120.4,28
3,Team,,,8,2,0,0.0,0,0.0,0,0,0.00,0.3,0.0,28
4,D.J. Foster,JR,RB,13,1,1,100.0,-3,-3.0,0,0,74.80,0.1,-0.2,28
,Total,,,13,467,281,60.2,3556,7.6,34,9,144.32,35.9,273.5,28
