3.0|Trey Griffey|SR|WR|12|23|382|16.61|2|1.9|31.8|29|2016
4.0|Samajie Grant|SR|WR|12|22|247|11.23|3|1.8|20.6|29|2016
5.0|Cam Denson|JR|WR|12|15|242|16.13|2|1.3|20.2|29|2016
6.0|Shawn Poindexter|JR|WR|10|6|82|13.67|0|0.6|8.2|29|2016
7.0|Trevor Wood|SO|TE|12|7|49|7.00|0|0.6|4.1|29|2016
8.0|Cedric Peterson|FR|WR|6|3|47|15.67|0|0.5|7.8|29|2016
9.0|Tyrell Johnson|JR|WR|7|5|46|9.20|0|0.7|6.6|29|2016
10.0|Josh Kern|SR|TE|12|5|41|8.20|1|0.4|3.4|29|2016
11.0|Tony Ellison|SO|WR|9|2|19|9.50|0|0.2|2.1|29|2016
12.0|J.J. Taylor|FR|RB|4|2|16|8.00|0|0.5|4.0|29|2016
13.0|Devaughn Cooper|FR|WR|2|1|15|15.00|0|0.5|7.5|29|2016
14.0|Nick Wilson|JR|RB|5|2|11|5.50|0|0.4|2.2|29|2016
15.0|Zach Green|JR|RB|11|2|5|2.50|0|0.2|0.5|29|2016
|Total|||12|157|2137|13.61|13|13.1|178.1|29|2016
|Opponents|||12|281|3302|11.75|34|23.4|275.2|29|2016
1.0|Tim White|SR|WR|12|56|713|12.73|2|4.7|59.4|28|2016
2.0|N'Keal Harry|FR|WR|12|58|659|11.36|5|4.8|54.9|28|2016
3.0|Kalen Ballage|JR|RB|12|44|469|10.66|1|3.7|39.1|28|2016
4.0|Frederick Gammage|SR|WR|12|26|334|12.85|2|2.2|27.8|28|2016
5.0|Jalen Harvey|SO|WR|10|21|330|15.71|0|2.1|33.0|28|2016
6.0|Cameron Smith|JR|WR|7|11|183|16.64|0|1.6|26.1|28|2016
7.0|Demario Richard|JR|RB|11|17|136|8.00|0|1.5|12.4|28|2016
8.0|Kody Kohl|SR|TE|11|7|93|13.29|2|0.6|8.5|28|2016
9.0|Jay Jay Wilson|SO|TE|9|4|81|20.25|3|0.4|9.0|28|2016
10.0|Kyle Williams|FR|WR|11|6|56|9.33|0|0.5|5.1|28|2016
11.0|Ellis Jefferson|JR|WR|11|2|21|10.50|0|0.2|1.9|28|2016
12.0|Ryan Jenkins|JR|WR|5|2|13|6.50|0|0.4|2.6|28|2016
13.0|Raymond Epps|JR|TE|11|1|13|13.00|1|0.1|1.2|28|2016
14.0|Nick Ralston|FR|RB|12|2|10|5.00|0|0.2|0.8|28|2016
|Total|||12|257|3111|12.11|16|21.4|259.3|28|2016
|Opponents|||12|310|4289|13.84|33|25.8|357.4|28|2016
1.0|Keon Hatcher|SR|WR|12|44|743|16.89|8|3.7|61.9|31|2016
2.0|Drew Morgan|SR|WR|13|65|739|11.37|3|5.0|56.8|31|2016
3.0|Jared Cornelius|JR|WR|11|32|515|16.09|4|2.9|46.8|31|2016
4.0|Jeremy Sprinkle|SR|TE|13|33|380|11.52|4|2.5|29.2|31|2016
5.0|Dominique Reed|SR|WR|13|16|255|15.94|2|1.2|19.6|31|2016
6.0|Rawleigh Williams III|SO|RB|13|15|220|14.67|1|1.2|16.9|31|2016
7.0|Cody Hollister|SR|WR|12|10|140|14.00|0|0.8|11.7|31|2016
8.0|Devwah Whaley|FR|RB|13|6|139|23.17|0|0.5|10.7|31|2016
9.0|Austin Cantrell|FR|TE|13|13|120|9.23|2|1.0|9.2|31|2016
10.0|Cheyenne O'Grady|FR|TE|5|3|63|21.00|1|0.6|12.6|31|2016
11.0|Deon Stewart|FR|WR|12|2|34|17.00|0|0.2|2.8|31|2016
12.0|Grayson Gunter|FR|TE|12|1|29|29.00|0|0.1|2.4|31|2016
13.0|Hayden Johnson|FR|RB|11|2|25|12.50|0|0.2|2.3|31|2016
14.0|Kody Walker|SR|RB|8|3|21|7.00|0|0.4|2.6|31|2016
15.0|La'Michael Pettway|FR|WR|10|1|10|10.00|1|0.1|1.0|31|2016
16.0|Kendrick Jackson|SO|RB|13|1|1|1.00|0|0.1|0.1|31|2016
|Total|||13|247|3434|13.90|26|19.0|264.2|31|2016
|Opponents|||13|218|2875|13.19|12|16.8|221.2|31|2016
1.0|Blake Mack|JR|TE|13|34|652|19.18|3|2.6|50.2|30|2016
2.0|Kendall Sanders|SR|WR|13|38|553|14.55|7|2.9|42.5|30|2016
3.0|Cam Echols-Luper|JR|WR|13|26|407|15.65|1|2.0|31.3|30|2016
4.0|Chris Murray|JR|WR|12|22|327|14.86|1|1.8|27.3|30|2016
5.0|Dijon Paschal|JR|WR|13|22|308|14.00|3|1.7|23.7|30|2016
6.0|Warren Wand|SO|RB|13|24|279|11.63|3|1.8|21.5|30|2016
7.0|Christian Booker|JR|WR|9|19|194|10.21|0|2.1|21.6|30|2016
8.0|Omar Bayless|FR|WR|12|13|117|9.00|1|1.1|9.8|30|2016
9.0|Justin McInnis|JR|WR|13|10|83|8.30|1|0.8|6.4|30|2016
10.0|Sterling Stowers|JR|WR|13|11|82|7.45|1|0.8|6.3|30|2016
11.0|Johnston White|JR|RB|12|7|64|9.14|0|0.6|5.3|30|2016
12.0|Chris Humes|SR|DB|13|1|31|31.00|0|0.1|2.4|30|2016
13.0|Daryl Rollins-Davis|SO|RB|11|2|27|13.50|0|0.2|2.5|30|2016
14.0|Jaylon Marshall|FR|WR|5|1|13|13.00|0|0.2|2.6|30|2016
15.0|Logan Moragne|SO|RB|13|1|11|11.00|0|0.1|0.8|30|2016
|Total|||13|231|3148|13.63|21|17.8|242.2|30|2016
|Opponents|||13|230|2853|12.40|15|17.7|219.5|30|2016
1.0|Edgar Poe|SR|WR|10|16|336|21.00|3|1.6|33.6|725|2016
2.0|Christian Poe|SO|WR|12|10|133|13.30|0|0.8|11.1|725|2016
3.0|Jeff Ejekam|JR|WR|13|9|110|12.22|1|0.7|8.5|725|2016
4.0|Jordan Asberry|SO|RB|13|5|100|20.00|1|0.4|7.7|725|2016
5.0|Tyler Campbell|SO|RB|12|2|71|35.50|0|0.2|5.9|725|2016
6.0|Joe Walker|SR|RB|12|3|65|21.67|2|0.3|5.4|725|2016
7.0|Dalton Mendenhall|SR|TE|7|1|39|39.00|0|0.1|5.6|725|2016
8.0|Kell Walker|FR|RB|13|2|30|15.00|0|0.2|2.3|725|2016
9.0|Quinten Parker|SO|TE|13|1|24|24.00|0|0.1|1.8|725|2016
10.0|Elijah St. Hilaire|SR|RB|12|1|19|19.00|0|0.1|1.6|725|2016
11.0|Glen Coates|FR|WR|11|1|15|15.00|0|0.1|1.4|725|2016
12.0|Ahmad Bradshaw|JR|QB|12|1|12|12.00|0|0.1|1.0|725|2016
13.0|Jermaine Adams|JR|WR|8|1|9|9.00|0|0.1|1.1|725|2016
14.0|John Trainor|JR|RB|11|1|4|4.00|0|0.1|0.4|725|2016
|Total|||13|54|967|17.91|7|4.2|74.4|725|2016
|Opponents|||13|191|2213|11.59|14|14.7|170.2|725|2016
1.0|Tony Stevens|SR|WR|11|31|487|15.71|3|2.8|44.3|37|2016
2.0|Darius Slayton|FR|WR|13|15|292|19.47|1|1.2|22.5|37|2016
3.0|Kyle Davis|FR|WR|13|12|248|20.67|2|0.9|19.1|37|2016
4.0|Eli Stove|FR|WR|12|23|224|9.74|0|1.9|18.7|37|2016
5.0|Ryan Davis|SO|WR|13|25|194|7.76|1|1.9|14.9|37|2016
