10.0|Matt Morin|SR|TE|11|6|31|5.17|0|0.55|2.82|29|2016
11.0|Orlando Bradford|SO|RB|2|5|16|3.20|0|2.50|8.00|29|2016
12.0|Trevor Wood|SO|TE|12|1|3|3.00|0|0.08|0.25|29|2016
13.0|Zach Werlinger|SO|QB|2|2|-4|-2.00|0|1.00|-2.00|29|2016
14.0|Team|||8|8|-14|-1.75|0|1.00|-1.75|29|2016
15.0|Anu Solomon|JR|QB|5|25|-52|-2.08|0|5.00|-10.40|29|2016
|Total|||12|509|2820|5.54|26|42.42|235.00|29|2016
|Opponents|||12|496|2330|4.70|27|41.33|194.17|29|2016
1.0|Demario Richard|JR|RB|11|155|593|3.83|3|14.09|53.91|28|2016
2.0|Kalen Ballage|JR|RB|12|126|536|4.25|14|10.50|44.67|28|2016
3.0|Manny Wilkins|SO|QB|10|128|246|1.92|5|12.80|24.60|28|2016
4.0|Nick Ralston|FR|RB|12|32|139|4.34|2|2.67|11.58|28|2016
5.0|N'Keal Harry|FR|WR|12|3|69|23.00|2|0.25|5.75|28|2016
6.0|Dillon Sterling-Cole|FR|QB|6|15|10|0.67|1|2.50|1.67|28|2016
7.0|Matt Haack|SR|P|12|1|7|7.00|0|0.08|0.58|28|2016
8.0|Brady White|FR|QB|4|3|3|1.00|0|0.75|0.75|28|2016
9.0|Frederick Gammage|SR|WR|12|1|0|0.00|0|0.08|0.00|28|2016
10.0|Tim White|SR|WR|12|5|-4|-0.80|0|0.42|-0.33|28|2016
11.0|Team|||7|6|-21|-3.50|0|0.86|-3.00|28|2016
|Total|||12|475|1578|3.32|27|39.58|131.50|28|2016
|Opponents|||12|399|1957|4.90|25|33.25|163.08|28|2016
1.0|Rawleigh Williams III|SO|RB|13|245|1360|5.55|12|18.85|104.62|31|2016
2.0|Devwah Whaley|FR|RB|13|110|602|5.47|3|8.46|46.31|31|2016
3.0|Kody Walker|SR|RB|8|33|109|3.30|1|4.13|13.63|31|2016
4.0|T.J. Hammonds|FR|RB|8|15|88|5.87|1|1.88|11.00|31|2016
5.0|Jared Cornelius|JR|WR|11|13|53|4.08|1|1.18|4.82|31|2016
6.0|Cody Hollister|SR|WR|12|2|48|24.00|1|0.17|4.00|31|2016
7.0|Dominique Reed|SR|WR|13|5|26|5.20|0|0.38|2.00|31|2016
8.0|Damon Mitchell|JR|RB|11|7|18|2.57|0|0.64|1.64|31|2016
9.0|Deon Stewart|FR|WR|12|2|9|4.50|0|0.17|0.75|31|2016
10.0|Drew Morgan|SR|WR|13|4|8|2.00|0|0.31|0.62|31|2016
11.0|Keon Hatcher|SR|WR|12|4|7|1.75|0|0.33|0.58|31|2016
12.0|Connor McPherson|JR|RB|1|2|4|2.00|0|2.00|4.00|31|2016
13.0|Ty Storey|FR|QB|3|2|-17|-8.50|0|0.67|-5.67|31|2016
14.0|Team|||8|8|-54|-6.75|0|1.00|-6.75|31|2016
15.0|Austin Allen|JR|QB|13|65|-126|-1.94|2|5.00|-9.69|31|2016
|Total|||13|517|2135|4.13|21|39.77|164.23|31|2016
|Opponents|||13|452|2671|5.91|39|34.77|205.46|31|2016
1.0|Warren Wand|SO|RB|13|200|879|4.40|7|15.38|67.62|30|2016
