Rank|Name|Yr|Pos|G|Rec|Yards|Avg|TD|Rec/G|Yards/G|TeamID|Year
1.0|Steve Ishmael|SR|WR|8|66|843|12.77|4|8.3|105.4|688|2017
2.0|Ervin Philips|SR|WR|8|61|626|10.26|3|7.6|78.3|688|2017
3.0|Devin C. Butler|SO|WR|8|21|206|9.81|1|2.6|25.8|688|2017
4.0|Ravian Pierce|JR|TE|8|23|204|8.87|2|2.9|25.5|688|2017
5.0|Moe Neal|SO|RB|8|8|142|17.75|1|1.0|17.8|688|2017
6.0|Sean Riley|SO|WR|8|5|90|18.00|0|0.6|11.3|688|2017
7.0|Dontae Strickland|JR|RB|8|12|82|6.83|2|1.5|10.3|688|2017
8.0|Jamal Custis|JR|WR|4|4|55|13.75|0|1.0|13.8|688|2017
9.0|Nykeim Johnson|FR|WR|7|5|49|9.80|0|0.7|7.0|688|2017
10.0|Sean Avant|SR|WR|4|4|30|7.50|0|1.0|7.5|688|2017
11.0|Tyrone Perkins|JR|RB|5|2|14|7.00|0|0.4|2.8|688|2017
12.0|Tyler Gilfus|FR|WR|2|1|11|11.00|0|0.5|5.5|688|2017
13.0|Eric Dungey|JR|QB|8|2|11|5.50|0|0.3|1.4|688|2017
|Total|||8|214|2363|11.04|13|26.8|295.4|688|2017
|Opponents|||8|162|1905|11.76|11|20.3|238.1|688|2017
1.0|John Diarse|SR|WR|7|21|342|16.29|2|3.0|48.9|698|2017
2.0|Jalen Reagor|FR|WR|7|18|298|16.56|4|2.6|42.6|698|2017
3.0|KaVontae Turpin|JR|WR|7|23|236|10.26|1|3.3|33.7|698|2017
4.0|Desmon White|SR|WR|7|20|218|10.90|3|2.9|31.1|698|2017
5.0|Jaelan Austin|JR|WR|7|8|118|14.75|0|1.1|16.9|698|2017
6.0|Shaun Nixon|JR|WR|7|10|105|10.50|1|1.4|15.0|698|2017
7.0|Kenedy Snell|FR|RB|6|4|93|23.25|2|0.7|15.5|698|2017
8.0|Kyle Hicks|SR|RB|5|10|90|9.00|0|2.0|18.0|698|2017
9.0|TreVontae Hights|SO|WR|6|1|56|56.00|1|0.2|9.3|698|2017
10.0|Dylan Thomas|SO|WR|7|7|52|7.43|1|1.0|7.4|698|2017
11.0|Darius Anderson|SO|RB|7|7|49|7.00|0|1.0|7.0|698|2017
12.0|Kenny Hill|SR|QB|7|1|48|48.00|1|0.1|6.9|698|2017
13.0|Ty Slanina|SR|WR|5|6|35|5.83|0|1.2|7.0|698|2017
14.0|Cole Hunt|SR|TE|7|4|32|8.00|0|0.6|4.6|698|2017
15.0|Sewo Olonilua|SO|RB|7|6|30|5.00|0|0.9|4.3|698|2017
16.0|Taj Williams|SR|WR|5|1|26|26.00|1|0.2|5.2|698|2017
17.0|Isaiah Graham|SO|WR|5|2|16|8.00|0|0.4|3.2|698|2017
18.0|Emanuel Porter|SR|WR|5|2|14|7.00|1|0.4|2.8|698|2017
19.0|Jarrison Stewart|JR|WR|5|1|12|12.00|0|0.2|2.4|698|2017
20.0|Daythan Davis|JR|TE|7|1|6|6.00|0|0.1|0.9|698|2017
|Total|||7|153|1876|12.26|18|21.9|268.0|698|2017
|Opponents|||7|100|1474|14.74|8|14.3|210.6|698|2017
1.0|Isaiah Wright|SO|WR|8|30|467|15.57|3|3.8|58.4|690|2017
2.0|Adonis Jennings|SR|WR|8|26|371|14.27|3|3.3|46.4|690|2017
3.0|Keith Kirkwood|SR|WR|8|23|345|15.00|2|2.9|43.1|690|2017
4.0|Ventell Bryant|JR|WR|7|20|185|9.25|0|2.9|26.4|690|2017
5.0|David Hood|JR|RB|8|18|157|8.72|1|2.3|19.6|690|2017
6.0|Kenny Yeboah|FR|TE|8|9|114|12.67|0|1.1|14.3|690|2017
7.0|Randle Jones|SO|WR|7|6|111|18.50|0|0.9|15.9|690|2017
8.0|Brodrick Yancy|JR|WR|7|8|108|13.50|1|1.1|15.4|690|2017
9.0|Marshall Ellick|JR|WR|7|7|66|9.43|0|1.0|9.4|690|2017
10.0|Chris Myarick|JR|TE|7|6|46|7.67|0|0.9|6.6|690|2017
11.0|Ryquell Armstead|JR|RB|8|8|38|4.75|0|1.0|4.8|690|2017
12.0|Freddie Johnson|FR|WR|7|2|20|10.00|0|0.3|2.9|690|2017
13.0|Branden Mack|FR|WR|8|1|15|15.00|0|0.1|1.9|690|2017
14.0|Nick Sharga|SR|RB|8|1|4|4.00|0|0.1|0.5|690|2017
|Total|||8|165|2047|12.41|10|20.6|255.9|690|2017
|Opponents|||8|146|1764|12.08|11|18.3|220.5|690|2017
1.0|Brandon Johnson|SO|WR|7|22|265|12.05|1|3.1|37.9|694|2017
2.0|John Kelly|JR|RB|7|26|255|9.81|0|3.7|36.4|694|2017
3.0|Marquez Callaway|SO|WR|7|15|249|16.60|3|2.1|35.6|694|2017
4.0|Ethan Wolf|SR|TE|7|12|101|8.42|1|1.7|14.4|694|2017
5.0|Ty Chandler|FR|RB|7|7|68|9.71|0|1.0|9.7|694|2017
6.0|Josh Palmer|FR|WR|7|5|51|10.20|0|0.7|7.3|694|2017
7.0|Jeff George|SR|WR|6|4|41|10.25|1|0.7|6.8|694|2017
8.0|Josh Smith|SR|WR|5|4|30|7.50|0|0.8|6.0|694|2017
9.0|Tyler Byrd|SO|WR|6|2|21|10.50|1|0.3|3.5|694|2017
10.0|Jauan Jennings|JR|WR|1|3|17|5.67|0|3.0|17.0|694|2017
11.0|Eli Wolf|SO|TE|4|1|17|17.00|0|0.3|4.3|694|2017
12.0|Tim Jordan|FR|RB|7|3|16|5.33|0|0.4|2.3|694|2017
13.0|Jakob Johnson|SR|TE|5|1|13|13.00|0|0.2|2.6|694|2017
14.0|Austin Pope|FR|TE|6|2|9|4.50|0|0.3|1.5|694|2017
15.0|Trey Coleman|FR|RB|2|1|3|3.00|0|0.5|1.5|694|2017
|Total|||7|108|1156|10.70|7|15.4|165.1|694|2017
|Opponents|||7|89|1107|12.44|7|12.7|158.1|694|2017
1.0|Collin Johnson|SO|WR|7|30|535|17.83|1|4.3|76.4|703|2017
2.0|Reggie Hemphill-Mapps|FR|WR|7|31|323|10.42|0|4.4|46.1|703|2017
3.0|Lil'Jordan Humphrey|SO|WR|7|17|193|11.35|0|2.4|27.6|703|2017
4.0|Chris Warren III|JR|RB|7|14|176|12.57|1|2.0|25.1|703|2017
5.0|Armanti Foreman|SR|WR|5|17|158|9.29|3|3.4|31.6|703|2017
6.0|Jerrod Heard|JR|WR|7|12|116|9.67|1|1.7|16.6|703|2017
7.0|Dorian Leonard|SR|WR|7|12|110|9.17|0|1.7|15.7|703|2017
8.0|John Burt|JR|WR|7|3|105|35.00|0|0.4|15.0|703|2017
9.0|Devin Duvernay|SO|WR|7|4|72|18.00|0|0.6|10.3|703|2017
10.0|Lorenzo Joe|SR|WR|7|6|71|11.83|0|0.9|10.1|703|2017
11.0|Cade Brewer|FR|TE|7|5|51|10.20|1|0.7|7.3|703|2017
12.0|Kyle Porter|SO|RB|6|3|34|11.33|1|0.5|5.7|703|2017
13.0|Garrett Gray|JR|TE|2|4|18|4.50|0|2.0|9.0|703|2017
14.0|Toneil Carter|FR|RB|5|4|15|3.75|1|0.8|3.0|703|2017
15.0|Daniel Young|FR|RB|7|1|-6|-6.00|0|0.1|-0.9|703|2017
|Total|||7|163|1971|12.09|9|23.3|281.6|703|2017
|Opponents|||7|136|1871|13.76|10|19.4|267.3|703|2017
1.0|Christian Kirk|JR|WR|7|29|360|12.41|5|4.1|51.4|697|2017
2.0|Damion Ratley|SR|WR|7|12|300|25.00|0|1.7|42.9|697|2017
3.0|Jhamon Ausbon|FR|WR|7|22|238|10.82|1|3.1|34.0|697|2017
4.0|Trayveon Williams|SO|RB|6|12|109|9.08|0|2.0|18.2|697|2017
5.0|Camron Buckley|FR|WR|7|4|95|23.75|1|0.6|13.6|697|2017
6.0|Keith Ford|SR|RB|7|10|55|5.50|0|1.4|7.9|697|2017
7.0|Clyde Chriss|FR|WR|7|4|52|13.00|0|0.6|7.4|697|2017
8.0|Roshauud Paul|FR|WR|7|7|48|6.86|0|1.0|6.9|697|2017
9.0|Aaron Hansford|FR|WR|7|3|39|13.00|0|0.4|5.6|697|2017
10.0|Kendall Bussey|SO|RB|7|3|37|12.33|0|0.4|5.3|697|2017
11.0|Kendrick Rogers|FR|WR|7|3|21|7.00|0|0.4|3.0|697|2017
12.0|Hezekiah Jones|FR|WR|6|2|13|6.50|0|0.3|2.2|697|2017
13.0|Tanner Schorp|SR|TE|7|3|13|4.33|0|0.4|1.9|697|2017
|Total|||7|114|1380|12.11|7|16.3|197.1|697|2017
|Opponents|||7|137|1716|12.53|14|19.6|245.1|697|2017
1.0|Elijah King|SR|WR|7|19|324|17.05|1|2.7|46.3|670|2017
2.0|Thurman Morbley|SO|WR|5|14|192|13.71|0|2.8|38.4|670|2017
3.0|Mason Hays|JR|WR|4|9|148|16.44|1|2.3|37.0|670|2017
4.0|Hutch White|SO|WR|7|9|132|14.67|0|1.3|18.9|670|2017
5.0|Gabe Schrade|SR|TE|7|8|131|16.38|0|1.1|18.7|670|2017
6.0|Anthony D. Taylor|SO|RB|7|8|86|10.75|1|1.1|12.3|670|2017
7.0|Tyler Watts|JR|WR|7|13|82|6.31|1|1.9|11.7|670|2017
8.0|Jeremiah Haydel|FR|WR|7|4|58|14.50|1|0.6|8.3|670|2017
9.0|Elijah Rogers|JR|TE|7|3|34|11.33|0|0.4|4.9|670|2017
10.0|Dennis Johnson Jr.|JR|WR|5|4|27|6.75|0|0.8|5.4|670|2017
11.0|Robert Brown, Jr.|FR|RB|7|3|12|4.00|0|0.4|1.7|670|2017
12.0|Caleb Twyford|FR|WR|5|1|4|4.00|0|0.2|0.8|670|2017
13.0|Anthony Smith|FR|RB|6|3|4|1.33|0|0.5|0.7|670|2017
|Total|||7|98|1234|12.59|5|14.0|176.3|670|2017
|Opponents|||7|134|1831|13.66|9|19.1|261.6|670|2017
1.0|Keke Coutee|JR|WR|7|53|744|14.04|6|7.6|106.3|700|2017
2.0|Dylan Cantrell|SR|WR|7|36|455|12.64|4|5.1|65.0|700|2017
3.0|Cameron Batson|SR|WR|7|38|322|8.47|1|5.4|46.0|700|2017
4.0|Derrick Willies|SR|WR|7|18|304|16.89|3|2.6|43.4|700|2017
5.0|Justin Stockton|SR|RB|7|21|180|8.57|1|3.0|25.7|700|2017
6.0|T.J. Vasher|FR|WR|7|4|129|32.25|2|0.6|18.4|700|2017
7.0|Quan Shorts|SO|WR|7|8|103|12.88|2|1.1|14.7|700|2017
8.0|Antoine Wesley|SO|WR|7|5|57|11.40|0|0.7|8.1|700|2017
9.0|Ja'Deion High|SR|WR|7|4|47|11.75|0|0.6|6.7|700|2017
10.0|Tre King|JR|RB|7|7|32|4.57|0|1.0|4.6|700|2017
11.0|Mason Reed|JR|RB|5|3|28|9.33|1|0.6|5.6|700|2017
12.0|JoJo Robinson|JR|WR|2|2|26|13.00|0|1.0|13.0|700|2017
13.0|Donta Thompson|SO|WR|7|1|20|20.00|0|0.1|2.9|700|2017
14.0|Demarcus Felton|JR|RB|6|2|13|6.50|0|0.3|2.2|700|2017
15.0|De'Quan Bowman|JR|WR|6|1|3|3.00|0|0.2|0.5|700|2017
|Total|||7|203|2463|12.13|20|29.0|351.9|700|2017
|Opponents|||7|186|2039|10.96|18|26.6|291.3|700|2017
1.0|Cody Thompson|SR|WR|5|28|537|19.18|4|5.6|107.4|709|2017
2.0|Diontae Johnson|SO|WR|7|32|523|16.34|6|4.6|74.7|709|2017
3.0|Jon'Vea Johnson|JR|WR|7|23|346|15.04|3|3.3|49.4|709|2017
4.0|Danzel McKinley-Lewis|SO|WR|7|13|206|15.85|2|1.9|29.4|709|2017
5.0|Jordan Fisher|SO|TE|7|8|101|12.63|0|1.1|14.4|709|2017
6.0|Terry Swanson|SR|RB|6|9|93|10.33|0|1.5|15.5|709|2017
7.0|Art Thompkins|SO|RB|7|10|69|6.90|0|1.4|9.9|709|2017
8.0|Desmond Phillips|SO|WR|5|5|58|11.60|1|1.0|11.6|709|2017
9.0|Bryce Mitchell|FR|WR|6|2|29|14.50|0|0.3|4.8|709|2017
10.0|Reggie Gilliam|SO|TE|7|2|24|12.00|0|0.3|3.4|709|2017
11.0|Shakif Seymour|FR|RB|7|1|20|20.00|0|0.1|2.9|709|2017
12.0|Drew Rosi|FR|TE|3|2|18|9.00|0|0.7|6.0|709|2017
13.0|Darryl Richards|SR|WR|7|2|13|6.50|0|0.3|1.9|709|2017
14.0|Rhett Blackman|SO|WR|5|1|7|7.00|0|0.2|1.4|709|2017
15.0|Liam Allen|SR|WR|6|1|3|3.00|0|0.2|0.5|709|2017
16.0|Neru N'Shaka|FR|WR|4|1|2|2.00|0|0.3|0.5|709|2017
|Total|||7|140|2049|14.64|16|20.0|292.7|709|2017
|Opponents|||7|125|1508|12.06|11|17.9|215.4|709|2017
1.0|Deondre Douglas|JR|WR|7|30|374|12.47|2|4.3|53.4|716|2017
2.0|Emanuel Thompson|SR|WR|7|28|277|9.89|0|4.0|39.6|716|2017
3.0|Damion Willis|JR|WR|7|20|256|12.80|1|2.9|36.6|716|2017
4.0|Tevaris McCormick|SR|WR|7|20|204|10.20|0|2.9|29.1|716|2017
5.0|Jordan Chunn|SR|RB|6|20|152|7.60|0|3.3|25.3|716|2017
6.0|John Johnson|SR|WR|7|10|122|12.20|1|1.4|17.4|716|2017
7.0|Tray Eafford|FR|WR|4|5|121|24.20|0|1.3|30.3|716|2017
8.0|Jamarius Henderson|SO|RB|7|9|94|10.44|0|1.3|13.4|716|2017
9.0|Sidney Davis|JR|WR|7|7|71|10.14|0|1.0|10.1|716|2017
10.0|Clark Quisenberry|SR|WR|7|5|57|11.40|0|0.7|8.1|716|2017
11.0|Josh Anderson|SR|RB|7|7|53|7.57|0|1.0|7.6|716|2017
12.0|Sam Letton|SO|WR|7|6|53|8.83|0|0.9|7.6|716|2017
13.0|Richard Hallman|SO|WR|5|1|15|15.00|0|0.2|3.0|716|2017
14.0|Ismail Saleem|SO|WR|5|1|5|5.00|0|0.2|1.0|716|2017
|Total|||7|169|1854|10.97|4|24.1|264.9|716|2017
|Opponents|||7|143|1586|11.09|10|20.4|226.6|716|2017
1.0|Terren Encalade|JR|WR|7|17|311|18.29|3|2.4|44.4|718|2017
2.0|Darnell Mooney|SO|WR|7|9|151|16.78|1|1.3|21.6|718|2017
3.0|Dontrell Hilliard|SR|RB|7|6|114|19.00|2|0.9|16.3|718|2017
4.0|Jabril Clewis|JR|WR|7|7|104|14.86|0|1.0|14.9|718|2017
5.0|Charles Jones II|JR|TE|7|5|41|8.20|0|0.7|5.9|718|2017
6.0|Jacob Robertson Jr.|FR|WR|5|5|36|7.20|0|1.0|7.2|718|2017
7.0|Darius Bradwell|SO|RB|7|3|31|10.33|0|0.4|4.4|718|2017
8.0|Kendall Ardoin|JR|TE|6|2|28|14.00|0|0.3|4.7|718|2017
9.0|Dane Ledford|FR|QB|1|1|11|11.00|0|1.0|11.0|718|2017
10.0|Chris Johnson|SO|WR|2|1|5|5.00|0|0.5|2.5|718|2017
11.0|Sherman Badie|SR|RB|7|1|3|3.00|0|0.1|0.4|718|2017
|Total|||7|57|835|14.65|6|8.1|119.3|718|2017
|Opponents|||7|78|1334|17.10|10|11.1|190.6|718|2017
1.0|Justin Hobbs|JR|WR|8|38|545|14.34|2|4.8|68.1|719|2017
2.0|Keenen Johnson|SO|WR|8|35|492|14.06|1|4.4|61.5|719|2017
3.0|Josh Stewart|FR|WR|8|13|162|12.46|0|1.6|20.3|719|2017
4.0|Nigel Carter|SR|WR|8|12|130|10.83|0|1.5|16.3|719|2017
5.0|Keylon Stokes|FR|WR|5|3|75|25.00|0|0.6|15.0|719|2017
6.0|D'Angelo Brewer|SR|RB|7|4|48|12.00|0|0.6|6.9|719|2017
7.0|Chris Minter|JR|TE|8|2|7|3.50|1|0.3|0.9|719|2017
8.0|Shamari Brooks|FR|RB|8|1|4|4.00|0|0.1|0.5|719|2017
9.0|Corey Taylor II|SO|RB|2|1|-1|-1.00|0|0.5|-0.5|719|2017
|Total|||8|109|1462|13.41|4|13.6|182.8|719|2017
|Opponents|||8|133|2068|15.55|13|16.6|258.5|719|2017
1.0|Tre'Quan Smith|JR|WR|6|21|436|20.76|8|3.5|72.7|128|2017
2.0|Dredrick Snelson|SO|WR|6|18|285|15.83|1|3.0|47.5|128|2017
3.0|Jordan Akins|SR|TE|6|14|261|18.64|3|2.3|43.5|128|2017
4.0|Otis Anderson|FR|WR|6|16|203|12.69|0|2.7|33.8|128|2017
5.0|Adrian Killins, Jr.|SO|RB|6|14|134|9.57|1|2.3|22.3|128|2017
6.0|Cam Stewart|JR|WR|4|3|109|36.33|0|0.8|27.3|128|2017
7.0|Gabriel Davis|FR|WR|6|9|99|11.00|1|1.5|16.5|128|2017
8.0|Marlon Williams|FR|WR|5|4|93|23.25|0|0.8|18.6|128|2017
9.0|Michael Colubiale|SR|TE|6|5|87|17.40|1|0.8|14.5|128|2017
10.0|Jordan Franks|SR|TE|6|2|43|21.50|0|0.3|7.2|128|2017
11.0|Alex Harris|FR|WR|3|3|33|11.00|0|1.0|11.0|128|2017
12.0|Emmanuel Logan-Greene|FR|WR|4|4|29|7.25|0|1.0|7.3|128|2017
13.0|Taj McGowan|JR|RB|6|3|14|4.67|0|0.5|2.3|128|2017
14.0|Greg McCrae|FR|RB|6|2|13|6.50|0|0.3|2.2|128|2017
15.0|Jamiyus Pittman|SR|DL|6|1|4|4.00|1|0.2|0.7|128|2017
16.0|Chris Larsen|JR|TE|3|1|2|2.00|0|0.3|0.7|128|2017
|Total|||6|120|1845|15.38|16|20.0|307.5|128|2017
|Opponents|||6|105|1286|12.25|8|17.5|214.3|128|2017
1.0|Darren Andrews|SR|WR|7|49|634|12.94|8|7.0|90.6|110|2017
2.0|Jordan Lasley|JR|WR|5|32|543|16.97|3|6.4|108.6|110|2017
3.0|Caleb Wilson|SO|TE|5|38|490|12.89|1|7.6|98.0|110|2017
4.0|Theo Howard|SO|WR|7|26|283|10.88|2|3.7|40.4|110|2017
5.0|Christian Pabico|JR|WR|7|9|195|21.67|1|1.3|27.9|110|2017
6.0|Soso Jamabo|JR|RB|5|11|123|11.18|0|2.2|24.6|110|2017
7.0|Austin Roberts|JR|TE|7|7|105|15.00|2|1.0|15.0|110|2017
8.0|Nate Starks|SR|RB|3|4|74|18.50|0|1.3|24.7|110|2017
9.0|Jalen Starks|SO|RB|6|2|70|35.00|0|0.3|11.7|110|2017
10.0|Jordan Wilson|FR|TE|6|5|48|9.60|1|0.8|8.0|110|2017
11.0|Eldridge Massington|SR|WR|7|5|45|9.00|1|0.7|6.4|110|2017
12.0|Giovanni Gentosi|JR|RB|7|5|22|4.40|0|0.7|3.1|110|2017
13.0|Bolu Olorunfunmi|JR|RB|6|5|19|3.80|0|0.8|3.2|110|2017
14.0|Brandon Stephens|SO|RB|6|2|15|7.50|0|0.3|2.5|110|2017
15.0|Demetric Felton|FR|WR|6|2|-2|-1.00|0|0.3|-0.3|110|2017
|Total|||7|202|2664|13.19|19|28.9|380.6|110|2017
|Opponents|||7|106|1334|12.58|12|15.1|190.6|110|2017
1.0|Devonte Boyd|SR|WR|7|20|415|20.75|2|2.9|59.3|465|2017
2.0|Brandon Presley|SO|WR|7|15|224|14.93|1|2.1|32.0|465|2017
3.0|Kendal Keys|JR|WR|7|15|136|9.07|1|2.1|19.4|465|2017
4.0|Lexington Thomas|JR|RB|7|6|108|18.00|0|0.9|15.4|465|2017
5.0|Drew Tejchman|FR|WR|6|4|84|21.00|0|0.7|14.0|465|2017
6.0|Darren Woods Jr.|SO|WR|7|10|67|6.70|0|1.4|9.6|465|2017
7.0|Tim Holt|SR|TE|6|5|45|9.00|0|0.8|7.5|465|2017
8.0|Trevor Kanteman|SR|TE|7|4|19|4.75|1|0.6|2.7|465|2017
9.0|Giovanni Fauolo|FR|TE|7|1|13|13.00|0|0.1|1.9|465|2017
|Total|||7|80|1111|13.89|5|11.4|158.7|465|2017
|Opponents|||7|136|1757|12.92|12|19.4|251.0|465|2017
1.0|Deontay Burnett|JR|WR|8|57|739|12.96|7|7.1|92.4|657|2017
2.0|Steven Mitchell Jr.|SR|WR|6|30|404|13.47|3|5.0|67.3|657|2017
3.0|Tyler Vaughns|FR|WR|8|31|352|11.35|1|3.9|44.0|657|2017
4.0|Tyler Petite|JR|TE|8|17|245|14.41|3|2.1|30.6|657|2017
5.0|Stephen Carr|FR|RB|5|13|130|10.00|0|2.6|26.0|657|2017
6.0|Ronald Jones II|JR|RB|7|7|113|16.14|1|1.0|16.1|657|2017
7.0|Jalen Greene|JR|WR|6|6|68|11.33|0|1.0|11.3|657|2017
8.0|Josh Falo|FR|TE|8|3|50|16.67|2|0.4|6.3|657|2017
9.0|Velus Jones Jr.|FR|WR|8|5|42|8.40|0|0.6|5.3|657|2017
10.0|Michael Pittman Jr.|SO|WR|5|3|41|13.67|0|0.6|8.2|657|2017
11.0|Aca'Cedric Ware|JR|RB|8|4|41|10.25|0|0.5|5.1|657|2017
12.0|Joseph Lewis IV|FR|WR|5|3|33|11.00|0|0.6|6.6|657|2017
13.0|Trevon Sidney|FR|WR|5|2|30|15.00|0|0.4|6.0|657|2017
14.0|Randal Grimes|FR|WR|2|2|17|8.50|0|1.0|8.5|657|2017
15.0|Daniel Imatorbhebhe|SO|TE|3|1|12|12.00|0|0.3|4.0|657|2017
16.0|Josh Imatorbhebhe|FR|WR|4|2|11|5.50|0|0.5|2.8|657|2017
17.0|Erik Krommenhoek|FR|TE|8|2|11|5.50|0|0.3|1.4|657|2017
18.0|Vavae Malepeai|FR|RB|8|1|-4|-4.00|0|0.1|-0.5|657|2017
|Total|||8|189|2335|12.35|17|23.6|291.9|657|2017
|Opponents|||8|146|1791|12.27|12|18.3|223.9|657|2017
1.0|Tyler Batson|SR|WR|7|14|169|12.07|1|2.0|24.1|704|2017
2.0|Terry Juniel|JR|WR|7|13|154|11.85|0|1.9|22.0|704|2017
3.0|Kavika Johnson|JR|WR|7|11|124|11.27|1|1.6|17.7|704|2017
4.0|David Lucero|JR|TE|7|16|115|7.19|1|2.3|16.4|704|2017
5.0|Walter Dawn Jr.|SO|RB|7|10|99|9.90|0|1.4|14.1|704|2017
6.0|Warren Redix|JR|WR|7|4|75|18.75|1|0.6|10.7|704|2017
7.0|Erik Brown|JR|WR|4|4|66|16.50|0|1.0|16.5|704|2017
8.0|Eddie Sinegal|SO|WR|5|5|35|7.00|0|1.0|7.0|704|2017
9.0|Josh Weeks|SO|TE|4|4|25|6.25|0|1.0|6.3|704|2017
10.0|Keynan Foster|SO|WR|4|3|23|7.67|0|0.8|5.8|704|2017
11.0|Joshua Fields|FR|RB|6|4|22|5.50|0|0.7|3.7|704|2017
12.0|Kevin Dove|SO|RB|7|4|16|4.00|0|0.6|2.3|704|2017
13.0|Quardraiz Wadley|SO|RB|4|1|15|15.00|0|0.3|3.8|704|2017
14.0|Alan Busey|JR|WR|1|2|9|4.50|0|2.0|9.0|704|2017
15.0|Augie Touris|JR|TE|7|1|5|5.00|0|0.1|0.7|704|2017
16.0|Forest McKee|FR|RB|7|1|2|2.00|0|0.1|0.3|704|2017
|Total|||7|97|954|9.84|4|13.9|136.3|704|2017
|Opponents|||7|131|1594|12.17|12|18.7|227.7|704|2017
1.0|Josh Stewart|SR|WR|6|21|306|14.57|3|3.5|51.0|706|2017
2.0|Brady Jones|SR|WR|6|16|235|14.69|1|2.7|39.2|706|2017
3.0|Greg Campbell Jr.|JR|WR|6|19|232|12.21|0|3.2|38.7|706|2017
4.0|Kerry Thomas Jr.|SR|WR|5|15|223|14.87|2|3.0|44.6|706|2017
5.0|Jalen Rhodes|JR|RB|6|11|110|10.00|1|1.8|18.3|706|2017
6.0|Marquez McNair|SR|WR|5|7|92|13.14|2|1.4|18.4|706|2017
7.0|Shaq Williams|SR|TE|6|4|69|17.25|2|0.7|11.5|706|2017
8.0|Tyrell Clay|SR|RB|6|6|63|10.50|1|1.0|10.5|706|2017
9.0|Dannon Cavil|SR|WR|6|4|45|11.25|0|0.7|7.5|706|2017
10.0|Blaze Moorhead|SO|WR|6|1|21|21.00|0|0.2|3.5|706|2017
11.0|Brett Winnegan|JR|RB|6|2|16|8.00|0|0.3|2.7|706|2017
12.0|Larry Stephens|JR|WR|6|1|5|5.00|0|0.2|0.8|706|2017
13.0|B.J. Daniels|FR|RB|4|1|1|1.00|0|0.3|0.3|706|2017
|Total|||6|108|1418|13.13|12|18.0|236.3|706|2017
|Opponents|||6|71|1074|15.13|9|11.8|179.0|706|2017
1.0|Darren Carrington II|SR|WR|7|45|649|14.42|5|6.4|92.7|732|2017
2.0|Siaosi Wilson|SO|WR|7|13|233|17.92|0|1.9|33.3|732|2017
3.0|Samson Nacua|FR|WR|7|21|199|9.48|1|3.0|28.4|732|2017
4.0|Raelon Singleton|JR|WR|7|14|185|13.21|1|2.0|26.4|732|2017
5.0|Demari Simpkins|SO|WR|7|14|158|11.29|1|2.0|22.6|732|2017
6.0|Zack Moss|SO|RB|7|20|143|7.15|0|2.9|20.4|732|2017
7.0|Troy McCormick, Jr.|SR|RB|7|17|92|5.41|0|2.4|13.1|732|2017
8.0|Siale Fakailoatonga|SR|TE|6|1|37|37.00|0|0.2|6.2|732|2017
9.0|Bryan Thompson|FR|WR|7|1|29|29.00|0|0.1|4.1|732|2017
10.0|Kyle Fulks|SR|WR|7|2|22|11.00|0|0.3|3.1|732|2017
11.0|Jameson Field|SR|WR|7|2|12|6.00|0|0.3|1.7|732|2017
12.0|Troy Williams|SR|QB|5|1|5|5.00|1|0.2|1.0|732|2017
13.0|Harrison Handley|SR|TE|7|2|4|2.00|0|0.3|0.6|732|2017
14.0|Jake Jackson|SO|TE|7|1|3|3.00|0|0.1|0.4|732|2017
|Total|||7|154|1771|11.50|9|22.0|253.0|732|2017
|Opponents|||7|135|1524|11.29|7|19.3|217.7|732|2017
1.0|Dax Raymond|SO|TE|7|26|326|12.54|1|3.7|46.6|731|2017
2.0|Ron'quavion Tarver|JR|WR|8|29|255|8.79|3|3.6|31.9|731|2017
3.0|Jordan Nathan|FR|WR|8|19|235|12.37|2|2.4|29.4|731|2017
4.0|Gerold Bright|SO|WR|7|8|169|21.13|2|1.1|24.1|731|2017
5.0|Savon Scarver|FR|WR|8|6|160|26.67|1|0.8|20.0|731|2017
6.0|LaJuan Hunt|SR|RB|8|19|130|6.84|1|2.4|16.3|731|2017
7.0|Zach Van Leeuwen|JR|WR|8|11|127|11.55|0|1.4|15.9|731|2017
8.0|Braelon Roberts|SR|WR|8|11|116|10.55|2|1.4|14.5|731|2017
9.0|Carson Terrell|FR|TE|7|8|102|12.75|0|1.1|14.6|731|2017
10.0|Jaren Colston-Green|SR|WR|6|6|100|16.67|0|1.0|16.7|731|2017
11.0|Aaren Vaughns|JR|WR|7|6|76|12.67|0|0.9|10.9|731|2017
12.0|Eltoro Allen|JR|RB|8|7|58|8.29|0|0.9|7.3|731|2017
13.0|Alex Byers|SR|WR|6|4|30|7.50|0|0.7|5.0|731|2017
14.0|Damion Hobbs|SR|TE|8|4|23|5.75|0|0.5|2.9|731|2017
15.0|Tonny Lindsey, Jr.|SR|RB|1|2|16|8.00|0|2.0|16.0|731|2017
16.0|Tre Miller|FR|RB|2|1|8|8.00|0|0.5|4.0|731|2017
17.0|Rob Castaneda|JR|OL|8|0|6|-|0|0.0|0.8|731|2017
18.0|Chad Artist|SO|WR|1|1|4|4.00|0|1.0|4.0|731|2017
19.0|Justen Hervey|JR|RB|8|1|0|0.00|0|0.1|0.0|731|2017
|Total|||8|169|1936|11.46|12|21.1|242.0|731|2017
|Opponents|||8|121|1557|12.87|11|15.1|194.6|731|2017
