Rank|Name|Yr|Pos|G|Rec|Yards|Avg|TD|Rec/G|Yards/G|TeamID|Year
10.0|Tom Pancoast|SR|TE|7|2|17|8.50|0|0.3|2.4|539|2017
11.0|Jonathan Holland|SO|TE|7|2|9|4.50|0|0.3|1.3|539|2017
12.0|Andre Robinson|SO|RB|7|1|5|5.00|0|0.1|0.7|539|2017
|Total|||7|158|2029|12.84|16|22.6|289.9|539|2017
|Opponents|||7|123|1173|9.54|3|17.6|167.6|539|2017
1.0|Jester Weah|SR|WR|8|27|458|16.96|3|3.4|57.3|545|2017
2.0|Rafael Araujo-Lopes|JR|WR|8|36|443|12.31|1|4.5|55.4|545|2017
3.0|Aaron Mathews|SO|WR|7|15|180|12.00|0|2.1|25.7|545|2017
4.0|Maurice Ffrench|SO|DB|8|17|147|8.65|0|2.1|18.4|545|2017
5.0|Matt Flanagan|SR|TE|8|15|138|9.20|0|1.9|17.3|545|2017
6.0|Qadree Ollison|JR|RB|8|16|134|8.38|1|2.0|16.8|545|2017
7.0|Quadree Henderson|JR|WR|8|11|126|11.45|0|1.4|15.8|545|2017
8.0|Chawntez Moss|SO|RB|4|5|71|14.20|1|1.3|17.8|545|2017
9.0|Chris Clark|SO|TE|8|10|59|5.90|1|1.3|7.4|545|2017
10.0|Darrin Hall|JR|RB|8|9|59|6.56|1|1.1|7.4|545|2017
11.0|Tyler Sear|FR|TE|4|1|10|10.00|0|0.3|2.5|545|2017
12.0|Jordan Whitehead|JR|DB|5|2|7|3.50|0|0.4|1.4|545|2017
13.0|A.J. Davis|FR|RB|5|1|0|0.00|0|0.2|0.0|545|2017
|Total|||8|165|1832|11.10|8|20.6|229.0|545|2017
|Opponents|||8|141|2163|15.34|16|17.6|270.4|545|2017
1.0|Anthony Mahoungou|SR|WR|7|20|300|15.00|2|2.9|42.9|559|2017
2.0|Jackson Anthrop|FR|WR|7|27|267|9.89|4|3.9|38.1|559|2017
3.0|Cole Herdman|JR|TE|7|12|256|21.33|2|1.7|36.6|559|2017
4.0|Brycen Hopkins|SO|TE|7|15|224|14.93|3|2.1|32.0|559|2017
5.0|Gregory Phillips|SR|WR|7|20|168|8.40|0|2.9|24.0|559|2017
6.0|Terry Wright|JR|WR|5|16|158|9.88|0|3.2|31.6|559|2017
7.0|Jared Sparks|FR|QB|7|6|76|12.67|0|0.9|10.9|559|2017
8.0|D.J. Knox|JR|RB|7|7|72|10.29|1|1.0|10.3|559|2017
9.0|Tario Fuller|SO|RB|3|5|37|7.40|0|1.7|12.3|559|2017
10.0|Markell Jones|JR|RB|4|9|37|4.11|0|2.3|9.3|559|2017
11.0|David Blough|JR|QB|7|1|24|24.00|0|0.1|3.4|559|2017
12.0|Isaac Zico|JR|WR|6|4|20|5.00|0|0.7|3.3|559|2017
13.0|Richie Worship|SO|RB|7|3|19|6.33|2|0.4|2.7|559|2017
14.0|Brian Lankford-Johnson|SO|RB|4|3|11|3.67|0|0.8|2.8|559|2017
15.0|Corey Holmes|JR|WR|3|1|7|7.00|0|0.3|2.3|559|2017
|Total|||7|149|1676|11.25|14|21.3|239.4|559|2017
|Opponents|||7|113|1405|12.43|8|16.1|200.7|559|2017
1.0|Aaron Cephus|FR|WR|6|12|325|27.08|3|2.0|54.2|574|2017
2.0|Samuel Stewart|JR|RB|5|11|133|12.09|0|2.2|26.6|574|2017
3.0|Austin Walter|JR|RB|7|9|124|13.78|1|1.3|17.7|574|2017
4.0|Kylen Granson|SO|WR|7|12|99|8.25|0|1.7|14.1|574|2017
5.0|Jordan Myers|FR|WR|7|10|98|9.80|0|1.4|14.0|574|2017
6.0|Robby Wells III|SR|TE|7|9|80|8.89|0|1.3|11.4|574|2017
7.0|Emmanuel Esukpa|SO|RB|7|3|37|12.33|0|0.4|5.3|574|2017
8.0|Lance Wright|JR|WR|7|3|37|12.33|0|0.4|5.3|574|2017
9.0|Will Phillips|FR|TE|7|1|19|19.00|0|0.1|2.7|574|2017
10.0|Jackson Tyner|SO|QB|5|1|17|17.00|0|0.2|3.4|574|2017
11.0|Nahshon Ellerbe|SO|RB|7|2|13|6.50|0|0.3|1.9|574|2017
12.0|Parker Smith|SR|WR|6|3|11|3.67|0|0.5|1.8|574|2017
13.0|Austin Trammell|FR|WR|7|1|7|7.00|0|0.1|1.0|574|2017
|Total|||7|77|1000|12.99|4|11.0|142.9|574|2017
|Opponents|||7|131|1651|12.60|12|18.7|235.9|574|2017
1.0|Janarion Grant|SR|WR|5|16|167|10.44|1|3.2|33.4|587|2017
2.0|Jerome Washington|JR|TE|7|19|163|8.58|1|2.7|23.3|587|2017
3.0|Damon Mitchell|SR|WR|7|9|122|13.56|0|1.3|17.4|587|2017
4.0|Dacoven Bailey|SO|WR|7|7|87|12.43|1|1.0|12.4|587|2017
5.0|Raheem Blackshear|FR|RB|7|5|83|16.60|1|0.7|11.9|587|2017
6.0|Gus Edwards|SR|RB|7|9|74|8.22|0|1.3|10.6|587|2017
7.0|Nakia Griffin-Stewart|SO|TE|7|7|58|8.29|1|1.0|8.3|587|2017
8.0|Bo Melton|FR|WR|7|1|48|48.00|0|0.1|6.9|587|2017
9.0|Josh Hicks|SR|RB|7|4|40|10.00|0|0.6|5.7|587|2017
10.0|Robert Martin|SR|RB|7|7|37|5.29|0|1.0|5.3|587|2017
11.0|Hunter Hayek|FR|WR|7|5|34|6.80|0|0.7|4.9|587|2017
12.0|Max Anthony|SO|RB|7|2|17|8.50|0|0.3|2.4|587|2017
13.0|Everett Wormley|FR|WR|7|1|5|5.00|0|0.1|0.7|587|2017
14.0|Jawuan Harris|SO|WR|6|1|4|4.00|0|0.2|0.7|587|2017
15.0|Myles Nash|SR|TE|7|1|4|4.00|0|0.1|0.6|587|2017
16.0|Kyle Bolin|SR|QB|6|1|-8|-8.00|0|0.2|-1.3|587|2017
|Total|||7|95|935|9.84|5|13.6|133.6|587|2017
|Opponents|||7|120|1574|13.12|12|17.1|224.9|587|2017
1.0|Trey Quinn|JR|WR|7|71|773|10.89|5|10.1|110.4|663|2017
2.0|Courtland Sutton|JR|WR|7|37|570|15.41|9|5.3|81.4|663|2017
3.0|James Proche|SO|WR|7|19|343|18.05|3|2.7|49.0|663|2017
4.0|Myron Gailliard|SO|WR|7|6|136|22.67|1|0.9|19.4|663|2017
5.0|Braeden West|JR|RB|6|11|134|12.18|0|1.8|22.3|663|2017
6.0|Brandon Benson|FR|WR|3|1|72|72.00|1|0.3|24.0|663|2017
7.0|Xavier Jones|SO|RB|7|5|35|7.00|0|0.7|5.0|663|2017
8.0|Kayce Medlock|FR|RB|7|1|30|30.00|0|0.1|4.3|663|2017
9.0|Ke'Mon Freeman|SO|RB|7|5|29|5.80|0|0.7|4.1|663|2017
10.0|Mitchell Kaufman|JR|TE|7|1|28|28.00|0|0.1|4.0|663|2017
11.0|Shelby Walker|SR|WR|7|2|15|7.50|0|0.3|2.1|663|2017
12.0|Alex Honey|SO|WR|6|1|14|14.00|0|0.2|2.3|663|2017
13.0|Tyler Page|FR|WR|5|1|8|8.00|0|0.2|1.6|663|2017
14.0|Kevin Thomas|JR|WR|7|1|6|6.00|0|0.1|0.9|663|2017
|Total|||7|162|2193|13.54|19|23.1|313.3|663|2017
|Opponents|||7|159|2012|12.65|17|22.7|287.4|663|2017
1.0|Mikah Holder|SR|WR|8|29|383|13.21|0|3.6|47.9|626|2017
2.0|Kahale Warring|SO|TE|8|13|185|14.23|2|1.6|23.1|626|2017
3.0|Fred Trevillion|JR|WR|8|5|173|34.60|1|0.6|21.6|626|2017
4.0|Rashaad Penny|SR|RB|8|17|136|8.00|2|2.1|17.0|626|2017
5.0|David Wells|SR|TE|7|7|92|13.14|2|1.0|13.1|626|2017
6.0|Quest Truxton|SR|WR|8|8|86|10.75|0|1.0|10.8|626|2017
7.0|Tim Wilson, Jr.|FR|WR|7|5|75|15.00|0|0.7|10.7|626|2017
8.0|Nick Bawden|SR|RB|7|10|53|5.30|0|1.4|7.6|626|2017
9.0|Parker Houston|SO|TE|8|3|41|13.67|0|0.4|5.1|626|2017
10.0|Juwan Washington|SO|RB|8|3|39|13.00|0|0.4|4.9|626|2017
11.0|Darryl Richardson|SR|TE|6|1|21|21.00|1|0.2|3.5|626|2017
12.0|Isiah Macklin|FR|WR|8|1|17|17.00|0|0.1|2.1|626|2017
