Rank,Name,Yr,Pos,G,Att,Comp,Pct,Yards,Yards/Att,Td,Int,Rating,Att/G,Yards/G,TeamID,Year
,Total,,,13,738,500,67.8,5059,6.9,41,12,140.41,56.8,389.2,754,2015
,Opponents,,,13,427,270,63.2,2899,6.8,13,13,124.22,32.8,223.0,754,2015
1.0,Skyler Howard,JR,QB,13,403,221,54.8,3145,7.8,26,14,134.73,31.0,241.9,768,2015
2.0,William Crest Jr.,FR,QB,11,25,11,44.0,124,5.0,0,1,77.66,2.3,11.3,768,2015
3.0,Team,,,8,1,0,0.0,0,0.0,0,0,0.0,0.1,0.0,768,2015
,Total,,,13,429,232,54.1,3269,7.6,26,15,131.1,33.0,251.5,768,2015
,Opponents,,,13,447,231,51.7,3091,6.9,24,23,117.2,34.4,237.8,768,2015
1.0,Brandon Doughty,SR,QB,14,540,388,71.9,5055,9.4,48,9,176.48,38.6,361.1,772,2015
2.0,Nacarius Fant,SO,WR,14,3,2,66.7,76,25.3,2,0,499.47,0.2,5.4,772,2015
3.0,Nelson Fishback,JR,QB,6,8,7,87.5,70,8.8,0,0,161.0,1.3,11.7,772,2015
4.0,Drew Eckels,FR,QB,1,1,1,100.0,10,10.0,0,0,184.0,1.0,10.0,772,2015
5.0,Team,,,6,1,0,0.0,0,0.0,0,0,0.0,0.2,0.0,772,2015
6.0,Anthony Wales,JR,RB,11,1,0,0.0,0,0.0,0,0,0.0,0.1,0.0,772,2015
,Total,,,14,554,398,71.8,5211,9.4,50,9,177.38,39.6,372.2,772,2015
,Opponents,,,14,472,254,53.8,3355,7.1,28,17,125.9,33.7,239.6,772,2015
1.0,Zach Terrell,JR,QB,13,391,262,67.0,3526,9.0,29,9,162.64,30.1,271.2,774,2015
2.0,Tom Flacco,FR,QB,7,12,10,83.3,188,15.7,1,0,242.43,1.7,26.9,774,2015
3.0,Corey Davis,JR,WR,13,1,1,100.0,22,22.0,0,0,284.8,0.1,1.7,774,2015
,Total,,,13,404,273,67.6,3736,9.2,30,9,165.3,31.1,287.4,774,2015
,Opponents,,,13,404,226,55.9,3024,7.5,24,10,133.47,31.1,232.6,774,2015
1.0,Joel Stave,SR,QB,13,370,225,60.8,2687,7.3,11,11,125.67,28.5,206.7,796,2015
2.0,Bart Houston,JR,QB,7,47,27,57.4,281,6.0,3,2,120.22,6.7,40.1,796,2015
3.0,Team,,,8,2,0,0.0,0,0.0,0,0,0.0,0.3,0.0,796,2015
,Total,,,13,419,252,60.1,2968,7.1,14,13,124.47,32.2,228.3,796,2015
,Opponents,,,13,395,194,49.1,2251,5.7,7,12,96.75,30.4,173.2,796,2015
1.0,Cameron Coffman,SR,QB,9,241,152,63.1,1951,8.1,18,10,147.42,26.8,216.8,811,2015
2.0,Nick Smith,FR,QB,5,60,27,45.0,245,4.1,2,1,86.97,12.0,49.0,811,2015
3.0,Josh Allen,SO,QB,2,6,4,66.7,51,8.5,0,0,138.07,3.0,25.5,811,2015
4.0,Team,,,6,1,0,0.0,0,0.0,0,0,0.0,0.2,0.0,811,2015
,Total,,,12,308,183,59.4,2247,7.3,20,11,134.99,25.7,187.3,811,2015
,Opponents,,,12,279,186,66.7,2363,8.5,23,5,161.45,23.3,196.9,811,2015
