Rank|Name|Yr|Pos|G|Att|Comp|Pct|Yards|Yards/Att|Td|Int|Rating|Att/G|Yards/G|TeamID|Year
5.0|Isaiah Wright|SO|WR|8|2|1|50.0|-1|-0.5|0|0|45.8|0.3|-0.1|690|2017
|Total|||8|294|165|56.1|2047|7.0|10|9|119.71|36.8|255.9|690|2017
|Opponents|||8|250|146|58.4|1764|7.1|11|5|128.19|31.3|220.5|690|2017
1.0|Quinten Dormady|JR|QB|6|137|76|55.5|925|6.8|6|6|117.88|22.8|154.2|694|2017
2.0|Jarrett Guarantano|FR|QB|5|58|32|55.2|231|4.0|1|1|90.87|11.6|46.2|694|2017
3.0|Josh Smith|SR|WR|5|1|0|0.0|0|0.0|0|0|0.0|0.2|0.0|694|2017
|Total|||7|196|108|55.1|1156|5.9|7|7|109.28|28.0|165.1|694|2017
|Opponents|||7|153|89|58.2|1107|7.2|7|3|130.12|21.9|158.1|694|2017
1.0|Sam Ehlinger|FR|QB|5|192|107|55.7|1419|7.4|6|4|123.95|38.4|283.8|703|2017
2.0|Shane Buechele|SO|QB|3|80|55|68.8|557|7.0|3|2|134.62|26.7|185.7|703|2017
3.0|Team|||6|3|0|0.0|0|0.0|0|0|0.0|0.5|0.0|703|2017
4.0|Lil'Jordan Humphrey|SO|WR|7|1|0|0.0|0|0.0|0|0|0.0|0.1|0.0|703|2017
5.0|Jerrod Heard|JR|WR|7|2|1|50.0|-5|-2.5|0|0|29.0|0.3|-0.7|703|2017
|Total|||7|278|163|58.6|1971|7.1|9|6|124.55|39.7|281.6|703|2017
|Opponents|||7|233|136|58.4|1871|8.0|10|9|132.25|33.3|267.3|703|2017
1.0|Kellen Mond|FR|QB|7|179|96|53.6|1225|6.8|7|4|119.56|25.6|175.0|697|2017
2.0|Jake Hubenak|SR|QB|2|15|12|80.0|93|6.2|0|0|132.08|7.5|46.5|697|2017
3.0|Nick Starkel|FR|QB|1|13|6|46.2|62|4.8|0|0|86.21|13.0|62.0|697|2017
|Total|||7|207|114|55.1|1380|6.7|7|4|118.37|29.6|197.1|697|2017
|Opponents|||7|234|137|58.5|1716|7.3|14|7|133.91|33.4|245.1|697|2017
1.0|Damian Williams|SR|QB|7|153|81|52.9|917|6.0|4|4|106.68|21.9|131.0|670|2017
2.0|Willie Jones III|FR|QB|5|27|16|59.3|270|10.0|0|1|135.85|5.4|54.0|670|2017
3.0|Hutch White|SO|WR|7|1|1|100.0|47|47.0|1|0|824.8|0.1|6.7|670|2017
|Total|||7|181|98|54.1|1234|6.8|5|5|115.0|25.9|176.3|670|2017
|Opponents|||7|213|134|62.9|1831|8.6|9|0|149.06|30.4|261.6|670|2017
1.0|Nic Shimonek|SR|QB|7|275|195|70.9|2341|8.5|18|5|160.38|39.3|334.4|700|2017
2.0|McLane Carter|SO|QB|2|6|6|100.0|106|17.7|2|0|358.4|3.0|53.0|700|2017
3.0|Jett Duffey|FR|QB|1|2|2|100.0|16|8.0|0|0|167.2|2.0|16.0|700|2017
|Total|||7|283|203|71.7|2463|8.7|20|5|164.63|40.4|351.9|700|2017
|Opponents|||7|283|186|65.7|2039|7.2|18|9|140.87|40.4|291.3|700|2017
1.0|Logan Woodside|SR|QB|7|215|138|64.2|2028|9.4|16|2|166.13|30.7|289.7|709|2017
2.0|Michael Julian|SR|QB|6|5|2|40.0|21|4.2|0|0|75.28|0.8|3.5|709|2017
3.0|Mitchell Guadagni|SO|QB|4|4|0|0.0|0|0.0|0|1|-50.0|1.0|0.0|709|2017
|Total|||7|224|140|62.5|2049|9.1|16|3|160.22|32.0|292.7|709|2017
