Rank|Name|Yr|Pos|G|Att|Yards|Avg|TD|Att/G|Yards/G|TeamID|Year
6.0|Giovanni Rescigno|JR|QB|4|19|56|2.95|0|4.75|14.00|587|2017
7.0|Kyle Bolin|SR|QB|6|11|10|0.91|0|1.83|1.67|587|2017
8.0|Aslan Pugh|FR|RB|1|1|5|5.00|0|1.00|5.00|587|2017
9.0|Janarion Grant|SR|WR|5|2|3|1.50|0|0.40|0.60|587|2017
10.0|Zach Allen|SR|QB|2|1|-1|-1.00|0|0.50|-0.50|587|2017
11.0|McDerby Ceneus|JR|RB|1|2|-3|-1.50|0|2.00|-3.00|587|2017
12.0|Team|||5|5|-28|-5.60|0|1.00|-5.60|587|2017
|Total|||7|275|1174|4.27|15|39.29|167.71|587|2017
|Opponents|||7|250|1115|4.46|6|35.71|159.29|587|2017
1.0|Xavier Jones|SO|RB|7|91|547|6.01|4|13.00|78.14|663|2017
2.0|Ke'Mon Freeman|SO|RB|7|82|382|4.66|8|11.71|54.57|663|2017
3.0|Braeden West|JR|RB|6|49|324|6.61|1|8.17|54.00|663|2017
4.0|D.J. Gillins|JR|QB|4|16|72|4.50|2|4.00|18.00|663|2017
5.0|Kayce Medlock|FR|RB|7|8|21|2.63|0|1.14|3.00|663|2017
6.0|Marcalas Johnson|SO|WR|6|2|2|1.00|0|0.33|0.33|663|2017
7.0|Courtland Sutton|JR|WR|7|1|2|2.00|1|0.14|0.29|663|2017
8.0|Trey Quinn|JR|WR|7|1|0|0.00|0|0.14|0.00|663|2017
9.0|Rafe Peavey|JR|QB|3|4|-2|-0.50|0|1.33|-0.67|663|2017
10.0|Team|||3|3|-5|-1.67|0|1.00|-1.67|663|2017
11.0|Ben Hicks|SO|QB|7|20|-61|-3.05|1|2.86|-8.71|663|2017
|Total|||7|277|1282|4.63|17|39.57|183.14|663|2017
|Opponents|||7|258|1047|4.06|10|36.86|149.57|663|2017
1.0|Rashaad Penny|SR|RB|8|179|1115|6.23|10|22.38|139.38|626|2017
2.0|Juwan Washington|SO|RB|8|76|400|5.26|2|9.50|50.00|626|2017
3.0|Ryan Agnew|SO|QB|3|5|37|7.40|0|1.67|12.33|626|2017
4.0|Chase Jasmin|FR|RB|8|10|30|3.00|1|1.25|3.75|626|2017
5.0|Chad Woolsey|JR|RB|8|3|20|6.67|0|0.38|2.50|626|2017
6.0|Tyler Wormhoudt|SR|RB|2|6|11|1.83|0|3.00|5.50|626|2017
7.0|Mikah Holder|SR|WR|8|1|6|6.00|0|0.13|0.75|626|2017
8.0|Fred Trevillion|JR|WR|8|1|-3|-3.00|0|0.13|-0.38|626|2017
9.0|Team|||5|8|-11|-1.38|0|1.60|-2.20|626|2017
10.0|Christian Chapman|JR|QB|8|56|-20|-0.36|1|7.00|-2.50|626|2017
|Total|||8|345|1585|4.59|14|43.13|198.13|626|2017
|Opponents|||8|288|1146|3.98|11|36.00|143.25|626|2017
1.0|Tyler Nevens|FR|RB|6|81|345|4.26|0|13.50|57.50|630|2017
2.0|Zamore Zigler|SO|RB|8|52|265|5.10|1|6.50|33.13|630|2017
3.0|Malike Roberson|JR|RB|8|61|206|3.38|0|7.63|25.75|630|2017
4.0|DeJon Packer|JR|RB|6|29|129|4.45|0|4.83|21.50|630|2017
5.0|Brandon Monroe|SR|RB|2|12|66|5.50|0|6.00|33.00|630|2017
6.0|Jamar Williams|FR|RB|1|2|9|4.50|0|2.00|9.00|630|2017
