1.0|Ahmad Bradshaw|JR|QB|12|91|40|44.0|703|7.7|4|9|103.58|7.6|58.6|725|2016
2.0|Chris Carter|SO|QB|9|23|9|39.1|176|7.7|2|1|123.41|2.6|19.6|725|2016
3.0|Malik McGue|FR|QB|11|6|4|66.7|76|12.7|1|1|194.74|0.5|6.9|725|2016
4.0|Joe Walker|SR|RB|12|1|1|100.0|12|12.0|0|0|200.8|0.1|1.0|725|2016
5.0|Kell Walker|FR|RB|13|2|0|0.0|0|0.0|0|0|0.0|0.2|0.0|725|2016
|Total|||13|123|54|43.9|967|7.9|7|11|110.83|9.5|74.4|725|2016
|Opponents|||13|338|191|56.5|2213|6.5|14|17|115.11|26.0|170.2|725|2016
1.0|Sean White|SO|QB|11|208|133|63.9|1679|8.1|9|3|143.14|18.9|152.6|37|2016
2.0|Jeremy Johnson|SR|QB|5|47|27|57.4|312|6.6|1|2|111.72|9.4|62.4|37|2016
3.0|John Franklin III|JR|QB|13|26|14|53.8|204|7.8|1|0|132.45|2.0|15.7|37|2016
4.0|Kerryon Johnson|SO|RB|12|3|3|100.0|11|3.7|1|0|240.8|0.3|0.9|37|2016
5.0|Team|||10|3|0|0.0|0|0.0|0|0|0.0|0.3|0.0|37|2016
6.0|Chandler Cox|SO|RB|12|2|1|50.0|-3|-1.5|0|1|-62.6|0.2|-0.3|37|2016
|Total|||13|289|178|61.6|2203|7.6|12|6|135.17|22.2|169.5|37|2016
|Opponents|||13|466|270|57.9|2979|6.4|14|11|116.83|35.8|229.2|37|2016
1.0|Taysom Hill|SR|QB|12|372|222|59.7|2323|6.2|12|11|116.88|31.0|193.6|77|2016
2.0|Tanner Mangum|SO|QB|6|33|22|66.7|241|7.3|3|1|151.96|5.5|40.2|77|2016
3.0|Mitchell Juergens|SR|WR|13|1|1|100.0|9|9.0|0|0|175.6|0.1|0.7|77|2016
4.0|Team|||11|6|0|0.0|0|0.0|0|0|0.0|0.5|0.0|77|2016
|Total|||13|412|245|59.5|2573|6.2|15|12|118.12|31.7|197.9|77|2016
|Opponents|||13|429|271|63.2|3278|7.6|17|21|130.64|33.0|252.2|77|2016
1.0|Riley Neal|SO|QB|11|394|242|61.4|2541|6.4|13|12|120.39|35.8|231.0|47|2016
2.0|Jack Milas|JR|QB|12|38|20|52.6|199|5.2|1|2|94.78|3.2|16.6|47|2016
3.0|Corey Lacanaria|JR|WR|11|2|1|50.0|10|5.0|0|1|-8.0|0.2|0.9|47|2016
4.0|Team|||3|2|0|0.0|0|0.0|0|0|0.0|0.7|0.0|47|2016
|Total|||12|436|263|60.3|2750|6.3|14|15|117.02|36.3|229.2|47|2016
|Opponents|||12|480|301|62.7|3836|8.0|27|7|145.48|40.0|319.7|47|2016
1.0|Seth Russell|SR|QB|9|278|152|54.7|2126|7.6|20|8|136.89|30.9|236.2|51|2016
